834:1;buildings>infrastructure#2!industrial_complex#1!air_base#1!@3838#naval_base<3+!$manpower>322900$category>town$owner>FRA$vp>3838#1!$cores>COR!FRA!$provinces>3838!9851!11804!$?
10;buildings>infrastructure#4!arms_factory#6!industrial_complex#2!anti_air_building#2!air_base#5!$manpower>3089000$category>large_city$owner>POL$vp>3544#25!402#1!$cores>POL!$provinces>402!467!524!3482!3544!6511!9400!11492!12562!$?
100;buildings>infrastructure#1!@12674#naval_base<1+!$manpower>115870$category>rural$owner>DEN$vp>12674#1!$cores>DEN!ICE!$provinces>4861!12674!12689!$?
101;buildings>infrastructure#1!@12512#naval_base<1+!$manpower>18000$category>wasteland$owner>DEN$cores>DEN!$provinces>10245!10636!12512!13058!13066!$?
102;buildings>infrastructure#3!$manpower>1144300$category>large_town$owner>YUG$vp>9627#3!$cores>YUG!SLV!$provinces>596!665!3631!3654!6650!6672!9596!9627!$?
103;buildings>infrastructure#3!dockyard#1!industrial_complex#3!@3924#naval_base<3+!@6889#naval_base<1+!$manpower>1431700$category>large_town$owner>YUG$vp>3868#3!3924#3!11564#1!$cores>YUG!CRO!$provinces>591!984!3601!3868!3924!3974!6611!6889!11564!11816!11901!$?
104;buildings>infrastructure#3!industrial_complex#2!air_base#2!$manpower>1910200$category>town$resources>aluminium#7!$owner>YUG$vp>11899#5!6983#3!$cores>YUG!BOS!$provinces>606!982!3985!6614!6619!6799!6957!6983!9586!9588!9591!9922!11572!11574!11741!11872!11899!$?
105;buildings>infrastructure#2!industrial_complex#1!@9809#naval_base<1+!$resources>chromium#20.000!aluminium#70.000!$vp>9809#3!$owner>YUG$cores>MNT!YUG!$provinces>937!6913!9809!9821!11858!$manpower>895500$category>rural$?
106;buildings>infrastructure#2!industrial_complex#1!air_base#2!$resources>chromium#70.000!aluminium#16.000!$owner>YUG$vp>3882#5!$cores>YUG!MAC!$provinces>833!867!907!974!3833!3865!3882!6886!11856!$manpower>1374200$category>rural$?
107;buildings>infrastructure#3!arms_factory#3!industrial_complex#4!air_base#5!$owner>YUG$vp>11586#15!$cores>YUG!SER!$provinces>797!3609!3956!3984!6634!9599!11583!11586!$manpower>1279121$category>large_city$?
108;buildings>infrastructure#2!$resources>steel#3.000!$vp>9602#3!$owner>YUG$cores>YUG!SER!$provinces>630!3922!3939!6953!6970!6998!9602!9756!9906!11887!$manpower>707000$category>town$?
109;buildings>infrastructure#3!industrial_complex#3!$manpower>2224400$category>large_town$owner>YUG$vp>11581#3!$cores>YUG!CRO!$provinces>624!3592!3596!3627!6647!9595!9611!11577!11580!11581!11594!$?
11;buildings>infrastructure#3!arms_factory#1!industrial_complex#3!$owner>LIT$vp>6296#5!9357#1!$cores>LIT!$provinces>327!6296!6360!9357!9404!$manpower>971940$category>town$?
110;buildings>infrastructure#3!arms_factory#2!industrial_complex#3!dockyard#1!air_base#4!@6115#naval_base<6+coastal_bunker<3+!$manpower>1410219$category>city$resources>aluminium#5!$vp>6115#15!$owner>NOR$cores>NOR!$provinces>10!14!27!100!111!133!144!179!3007!3021!3059!3094!3105!3136!3171!6042!6072!6080!6114!6115!6136!6151!6160!6184!9032!9036!9103!9135!9157!9174!9204!9227!11028!11029!11037!11078!11113!11135!11151!11184!11206!$?
111;buildings>infrastructure#3!arms_factory#3!industrial_complex#2!dockyard#1!air_base#5!@11105#naval_base<5+coastal_bunker<2+!@3083#naval_base<3+coastal_bunker<1+!$manpower>1670190$category>city$owner>FIN$vp>11105#15!3083#1!3137#1!$cores>FIN!$provinces>32!52!67!169!204!3009!3025!3061!3083!3117!3137!3161!6009!6047!6066!6082!6108!6144!6163!6186!9073!9094!9129!9160!9167!9183!9194!11056!11066!11105!11138!11172!11211!13100!13101!13102!13103!13105!13106!13107!$?
112;buildings>infrastructure#3!arms_factory#2!industrial_complex#2!air_base#5!dockyard#2!@11805#naval_base<8+!$resources>tungsten#50.000!$owner>POR$vp>11805#20!3798#1!$cores>POR!$provinces>799!3798!3861!6924!11805!$manpower>1995800$category>city$?
113;buildings>infrastructure#4!arms_factory#1!industrial_complex#5!air_base#3!@11293#naval_base<6+!$manpower>1357600$resources>aluminium#0!steel#2!$category>city$owner>IRE$vp>285#1!303#1!11293#10!$cores>IRE!$provinces>285!303!369!3342!3359!7377!11293!11303!$?
114;buildings>infrastructure#3!arms_factory#0!industrial_complex#1!air_base#5!@11773#naval_base<3+!@6891#naval_base<5+!$manpower>991921$category>town$owner>ITA$vp>11773#3!$cores>ITA!$provinces>902!6891!9772!9863!11755!11773!11824!11874!$?
